,type,open_ts,open_price,close_ts,close_price,duration,profit,diff_PCT,balance
0,long,2024-11-22 01:40:00,0.38147,2024-11-22 02:35:00,0.40028,55,0.32381959262851734,4.930925105512897,10.323819592628517
1,short,2024-11-22 02:35:00,0.40028,2024-11-22 02:45:00,0.39766,10,0.025668882168195968,0.6545418207254949,10.349488474796713
2,long,2024-11-22 02:45:00,0.39766,2024-11-22 03:10:00,0.39544,25,-0.062137843678540756,-0.5582658552532314,10.287350631118173
3,short,2024-11-22 03:10:00,0.39544,2024-11-22 03:40:00,0.39258,30,0.030530569439021812,0.7232449929192871,10.317881200557194
4,long,2024-11-22 03:40:00,0.39258,2024-11-22 03:45:00,0.39367,5,-0.001634255873787972,0.27765041520200606,10.316246944683407
5,short,2024-11-22 03:45:00,0.39367,2024-11-22 03:50:00,0.39409,5,-0.029376185996485806,-0.1066883430284187,10.286870758686922
6,long,2024-11-22 03:50:00,0.39409,2024-11-22 03:55:00,0.39433,5,-0.017221535667331995,0.060899794463198244,10.26964922301959
7,short,2024-11-22 03:55:00,0.39433,2024-11-22 04:00:00,0.39574,5,-0.047296692011617215,-0.3575685339690023,10.222352531007973
8,long,2024-11-22 04:00:00,0.39574,2024-11-22 04:10:00,0.39398,10,-0.05325888548084074,-0.4447364431192156,10.169093645527132
9,short,2024-11-22 04:10:00,0.39398,2024-11-22 04:15:00,0.39482,5,-0.036547254863214744,-0.2132087923244854,10.132546390663917
10,long,2024-11-22 04:15:00,0.39482,2024-11-22 05:25:00,0.39686,70,0.015332784157596034,0.5166911503976461,10.147879174821513
11,short,2024-11-22 05:25:00,0.39686,2024-11-22 06:05:00,0.3939,40,0.03172435787005396,0.7458549614473664,10.179603532691567
12,long,2024-11-22 06:05:00,0.3939,2024-11-22 08:30:00,0.3939,145,-0.021377167418652337,0.0,10.158226365272915
13,short,2024-11-22 08:30:00,0.3939,2024-11-22 08:35:00,0.39288,5,-0.0029006262215297562,0.2589489718202502,10.155325739051385
14,long,2024-11-22 08:35:00,0.39288,2024-11-22 12:05:00,0.39547,210,0.02549013125886326,0.6592343718183622,10.180815870310248
15,short,2024-11-22 12:05:00,0.39547,2024-11-22 12:20:00,0.39462,15,-0.00604696235216041,0.21493412901104053,10.174768907958088
16,long,2024-11-22 12:20:00,0.39462,2024-11-22 12:30:00,0.39585,10,0.0008105625922642575,0.31169226090921726,10.175579470550352
17,short,2024-11-22 12:30:00,0.39585,2024-11-22 12:35:00,0.39499,5,-0.005878443956205513,0.21725401035745154,10.169701026594145
18,long,2024-11-22 12:35:00,0.39499,2024-11-22 13:00:00,0.41207,25,0.2861637081714659,4.324160105319118,10.455864734765612
19,short,2024-11-22 13:00:00,0.41207,2024-11-22 13:15:00,0.3995,15,0.2015317877408421,3.0504525930060358,10.657396522506454
20,long,2024-11-22 13:15:00,0.3995,2024-11-22 14:00:00,0.39794,45,-0.05148250798030337,-0.39048811013767354,10.605914014526151
21,short,2024-11-22 14:00:00,0.39794,2024-11-22 14:05:00,0.40387,5,-0.13301568279526363,-1.4901743981504725,10.472898331730887
22,long,2024-11-22 14:05:00,0.40387,2024-11-22 14:10:00,0.40396,5,-0.02036104449721888,0.022284398445038992,10.452537287233667
23,short,2024-11-22 14:10:00,0.40396,2024-11-22 14:15:00,0.39993,5,0.05111654538473324,0.997623527081884,10.5036538326184
24,long,2024-11-22 14:15:00,0.39993,2024-11-22 15:10:00,0.40212,55,0.018164363868157618,0.5475958292701146,10.521818196486558
25,short,2024-11-22 15:10:00,0.40212,2024-11-22 15:30:00,0.40159,20,-0.012378574242046867,0.13180145230278897,10.50943962224451
26,long,2024-11-22 15:30:00,0.40159,2024-11-22 16:25:00,0.40085,55,-0.035612107214279716,-0.18426753654224917,10.47382751503023
27,short,2024-11-22 16:25:00,0.40085,2024-11-22 16:30:00,0.39766,5,0.0364094648950078,0.7958089060745842,10.510236979925239
28,long,2024-11-22 16:30:00,0.39766,2024-11-22 16:55:00,0.40795,25,0.1681149222220416,2.5876376804305097,10.67835190214728
29,short,2024-11-22 16:55:00,0.40795,2024-11-22 17:00:00,0.40938,5,-0.04865255537961405,-0.3505331535727521,10.629699346767666
30,long,2024-11-22 17:00:00,0.40938,2024-11-22 17:50:00,0.40751,50,-0.05627703707433609,-0.4567883140358685,10.57342230969333
31,short,2024-11-22 17:50:00,0.40751,2024-11-22 18:35:00,0.40892,45,-0.047838904495289845,-0.34600377904837243,10.52558340519804
32,long,2024-11-22 18:35:00,0.40892,2024-11-22 18:40:00,0.40729,5,-0.05144364732313983,-0.39861097525188793,10.4741397578749
33,short,2024-11-22 18:40:00,0.40729,2024-11-22 18:45:00,0.40661,5,-0.009742320672972907,0.16695720493995886,10.464397437201926
34,long,2024-11-22 18:45:00,0.40661,2024-11-22 21:30:00,0.40162,165,-0.11178017819525811,-1.2272201864194314,10.352617259006667
35,short,2024-11-22 21:30:00,0.40162,2024-11-22 22:05:00,0.41409,35,-0.24697420982870352,-3.1049250535332,10.105643049177964
36,long,2024-11-22 22:05:00,0.41409,2024-11-22 22:30:00,0.41816,25,0.04823692925829896,0.9828781182834558,10.153879978436263
37,short,2024-11-22 22:30:00,0.41816,2024-11-22 22:45:00,0.41625,15,0.011174731490234506,0.456762961545812,10.165054709926498
38,long,2024-11-22 22:45:00,0.41625,2024-11-22 23:15:00,0.41148,30,-0.10280529731431289,-1.1459459459459451,10.062249412612184
39,short,2024-11-22 23:15:00,0.41148,2024-11-23 00:00:00,0.41462,45,-0.07493392448858671,-0.7630990570623059,9.987315488123597
40,long,2024-11-23 00:00:00,0.41462,2024-11-23 00:55:00,0.4111,55,-0.08026653848708155,-0.848970141334226,9.907048949636515
41,short,2024-11-23 00:55:00,0.4111,2024-11-23 01:05:00,0.41019,10,-0.005438466206789127,0.22135733398200483,9.901610483429726
42,long,2024-11-23 01:05:00,0.41019,2024-11-23 02:35:00,0.41962,90,0.13838936322558454,2.298934640044856,10.039999846655311
43,short,2024-11-23 02:35:00,0.41962,2024-11-23 03:00:00,0.42993,25,-0.19393357208206644,-2.456984891091937,9.846066274573245
44,long,2024-11-23 03:00:00,0.42993,2024-11-23 03:10:00,0.42512,10,-0.09770917106398432,-1.1187867792431283,9.74835710350926
45,short,2024-11-23 03:10:00,0.42512,2024-11-23 03:15:00,0.42428,5,-0.006974734874932618,0.19759126834776236,9.741382368634328
46,long,2024-11-23 03:15:00,0.42428,2024-11-23 03:25:00,0.42864,10,0.04954632199542397,1.0276232676534436,9.790928690629752
47,short,2024-11-23 03:25:00,0.42864,2024-11-23 04:15:00,0.47051,50,-0.6907020740900487,-9.768103770063448,9.100226616539704
48,long,2024-11-23 04:15:00,0.47051,2024-11-23 04:20:00,0.47223,5,0.0041530385331584214,0.36556077447875696,9.104379655072862
49,short,2024-11-23 04:20:00,0.47223,2024-11-23 04:25:00,0.46756,5,0.043968660991560334,0.988924888295959,9.148348316064421
50,long,2024-11-23 04:25:00,0.46756,2024-11-23 05:10:00,0.46438,45,-0.06272222341387537,-0.6801266147660109,9.085626092650546
51,short,2024-11-23 05:10:00,0.46438,2024-11-23 05:15:00,0.46203,5,0.013136905945631574,0.506051078857836,9.098762998596177
52,long,2024-11-23 05:15:00,0.46203,2024-11-23 06:40:00,0.46329,85,-0.0017555336828993674,0.27270956431400195,9.097007464913277
