Metric,Value
Start Date: ,2024-11-26 06:50:00
Stop Date:  ,2024-12-11 20:15:00
Ratio positive profit to all trades (%): ,63.46
Ratio positive profit to long trades (%): ,63.46
Ratio positive profit to short trades (%): ,0
Total positive trades: ,33
Total positive trades (long):  ,33
Total positive trades (short): ,0
Total profit (long): ,3.2864197640595467
Total loss  (long): ,-1.6450443325399986
Ratio profit/loss (long): ,2.0
PL (long): ,1.6413754315195481
Total profit (short): ,0
Total loss  (short): ,0
Ratio profit/loss (short): ,inf
PL (short): ,0
Ratio diff_PCT > 0.2 to all trades (%): ,65.38
Max profit trade: ,0.6167349238069002
Max loss trade: ,-0.489440568795521
Max profit trade (long): ,0.6167349238069002
Max loss trade (long): ,-0.489440568795521
Max profit trade (short): ,
Max loss trade (short): ,
Max duration (long): ,295
Mean duration (long): ,33.23
Max duration  (short): ,
Mean duration (short): ,
Balance: ,11.641375431519549
Total Profit (%): ,16.41
Total Trades: ,52
