Metric,Value
Start Date: ,2024-11-10 04:00:00
Stop Date:  ,2024-11-12 16:40:00
Ratio positive profit to all trades (%): ,60.0
Ratio positive profit to long trades (%): ,60.0
Ratio positive profit to short trades (%): ,0
Total positive trades: ,3
Total positive trades (long):  ,3
Total positive trades (short): ,0
Total profit (long): ,4.608493179935198
Total loss  (long): ,-0.3815550594591955
Ratio profit/loss (long): ,12.08
PL (long): ,4.226938120476002
Total profit (short): ,0
Total loss  (short): ,0
Ratio profit/loss (short): ,inf
PL (short): ,0
Ratio diff_PCT > 0.2 to all trades (%): ,60.0
Max profit trade: ,4.424262741999209
Max loss trade: ,-0.2454664937339839
Max profit trade (long): ,4.424262741999209
Max loss trade (long): ,-0.2454664937339839
Max profit trade (short): ,
Max loss trade (short): ,
Max duration (long): ,579
Mean duration (long): ,116.6
Max duration  (short): ,
Mean duration (short): ,
Balance: ,14.226938120476003
Total Profit (%): ,42.27
Total Trades: ,5
